league,season,team,player,nation,pos,age,born,90s,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types
ENG-Premier League,2425,Arsenal,Oleksandr Zinchenko,UKR,"DF,MF",27,1996,5.9,22,3.76,17,1,1,2,1,0,2,0.34,2,0,0,0,0,0
ENG-Premier League,2425,Arsenal,Raheem Sterling,ENG,"FW,MF",29,1994,5.5,19,3.43,14,0,3,2,0,0,3,0.54,3,0,0,0,0,0
ENG-Premier League,2425,Arsenal,Reiss Nelson,ENG,FW,24,1999,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,2425,Arsenal,Riccardo Calafiori,ITA,DF,22,2002,10.9,13,1.19,11,0,1,1,0,0,2,0.18,2,0,0,0,0,0
ENG-Premier League,2425,Arsenal,Takehiro Tomiyasu,JPN,DF,25,1998,0.1,1,12.86,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,2425,Arsenal,Thomas Partey,GHA,"MF,DF",31,1993,31.1,62,2.0,52,2,1,2,1,4,13,0.42,8,2,0,1,1,1
ENG-Premier League,2425,Arsenal,William Saliba,FRA,DF,23,2001,33.8,27,0.8,25,0,0,1,0,1,1,0.03,1,0,0,0,0,0
ENG-Premier League,2425,Aston Villa,Amadou Onana,BEL,MF,22,2001,18.0,32,1.78,25,2,1,4,0,0,4,0.22,2,1,0,1,0,0
ENG-Premier League,2425,Aston Villa,Andrés García,ESP,"DF,MF",21,2003,3.5,3,0.85,3,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,2425,Aston Villa,Axel Disasi,FRA,DF,26,1998,5.4,9,1.65,7,0,1,0,0,1,0,0.0,0,0,0,0,0,0
ENG-Premier League,2425,Aston Villa,Boubacar Kamara,FRA,MF,24,1999,19.2,27,1.41,20,1,1,2,1,2,2,0.1,2,0,0,0,0,0
ENG-Premier League,2425,Aston Villa,Diego Carlos,BRA,DF,31,1993,9.2,4,0.43,3,0,0,1,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,2425,Aston Villa,Donyell Malen,NED,FW,25,1999,3.4,6,1.76,5,0,1,0,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,2425,Aston Villa,Emi Buendía,ARG,"MF,FW",27,1996,1.1,3,2.76,2,0,0,1,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,2425,Aston Villa,Emiliano Martínez,ARG,GK,31,1992,35.5,6,0.17,5,1,0,0,0,0,1,0.03,1,0,0,0,0,0
ENG-Premier League,2425,Aston Villa,Ezri Konsa,ENG,DF,26,1997,32.6,24,0.74,19,2,1,2,0,0,3,0.09,3,0,0,0,0,0
ENG-Premier League,2425,Aston Villa,Ian Maatsen,NED,DF,22,2002,12.7,52,4.11,38,3,5,5,0,1,7,0.55,6,0,1,0,0,0
ENG-Premier League,2425,Aston Villa,Jacob Ramsey,ENG,"FW,MF",23,2001,18.0,51,2.83,40,0,4,1,6,0,8,0.44,7,0,0,0,1,0
ENG-Premier League,2425,Aston Villa,Jaden Philogene Bidace,ENG,"FW,MF",22,2002,3.7,5,1.36,3,0,0,0,1,1,0,0.0,0,0,0,0,0,0
ENG-Premier League,2425,Aston Villa,John McGinn,SCO,"MF,FW",29,1994,24.7,76,3.08,56,9,1,4,5,1,8,0.32,6,2,0,0,0,0
ENG-Premier League,2425,Aston Villa,Jáder Durán,COL,FW,20,2003,7.1,18,2.54,9,0,0,4,3,2,1,0.14,0,0,0,0,0,1
ENG-Premier League,2425,Aston Villa,Kosta Nedeljković,SRB,DF,18,2005,1.4,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,2425,Aston Villa,Lamare Bogarde,NED,"DF,MF",20,2004,5.3,10,1.89,8,1,0,0,0,1,1,0.19,1,0,0,0,0,0
ENG-Premier League,2425,Aston Villa,Leon Bailey,JAM,"FW,MF",26,1997,12.7,38,3.01,23,1,8,3,3,0,4,0.32,4,0,0,0,0,0
ENG-Premier League,2425,Aston Villa,Lucas Digne,FRA,DF,31,1993,26.1,66,2.53,42,18,1,4,0,1,5,0.19,5,0,0,0,0,0
ENG-Premier League,2425,Aston Villa,Marco Asensio,ESP,MF,28,1996,8.3,35,4.24,22,7,1,1,3,1,3,0.36,2,0,0,1,0,0
ENG-Premier League,2425,Aston Villa,Marcus Rashford,ENG,FW,26,1997,4.9,27,5.49,14,5,3,2,3,0,3,0.61,2,0,0,1,0,0
ENG-Premier League,2425,Aston Villa,Matty Cash,POL,DF,26,1997,23.0,25,1.09,22,1,1,0,0,1,4,0.17,3,0,0,0,0,1
ENG-Premier League,2425,Aston Villa,Morgan Rogers,ENG,"FW,MF",22,2002,34.6,105,3.04,80,0,13,7,5,0,16,0.46,14,0,1,0,1,0
ENG-Premier League,2425,Aston Villa,Ollie Watkins,ENG,FW,28,1995,28.9,53,1.84,36,0,4,7,6,0,12,0.42,8,0,1,1,2,0
ENG-Premier League,2425,Aston Villa,Pau Torres,ESP,DF,27,1997,22.4,14,0.62,11,0,0,3,0,0,2,0.09,1,0,0,1,0,0
ENG-Premier League,2425,Aston Villa,Robin Olsen,SWE,GK,34,1990,2.5,2,0.8,0,2,0,0,0,0,1,0.4,0,1,0,0,0,0
ENG-Premier League,2425,Aston Villa,Ross Barkley,ENG,MF,30,1993,6.5,18,2.78,15,1,2,0,0,0,3,0.46,3,0,0,0,0,0
ENG-Premier League,2425,Aston Villa,Tyrone Mings,ENG,DF,31,1993,12.4,18,1.45,15,0,0,1,1,1,2,0.16,1,0,0,1,0,0
ENG-Premier League,2425,Aston Villa,Youri Tielemans,BEL,MF,27,1997,33.6,122,3.63,79,31,3,6,2,1,12,0.36,9,3,0,0,0,0
ENG-Premier League,2425,Bournemouth,Adam Smith,ENG,DF,33,1991,17.7,23,1.3,17,1,1,0,3,1,2,0.11,1,0,0,0,1,0
ENG-Premier League,2425,Bournemouth,Alex Scott,ENG,MF,20,2003,8.4,29,3.45,19,2,0,2,3,3,2,0.24,2,0,0,0,0,0
ENG-Premier League,2425,Bournemouth,Antoine Semenyo,GHA,FW,24,2000,35.6,132,3.71,85,4,21,15,5,2,13,0.37,7,1,2,1,2,0
ENG-Premier League,2425,Bournemouth,Ben Winterburn,ENG,"MF,FW",19,2004,0.3,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,2425,Bournemouth,Dango Ouattara,BFA,FW,22,2002,22.3,72,3.23,57,0,3,10,1,1,6,0.27,4,0,1,1,0,0
ENG-Premier League,2425,Bournemouth,Daniel Jebbison,CAN,FW,20,2003,1.3,6,4.54,4,0,1,0,1,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,2425,Bournemouth,David Brooks,WAL,"FW,MF",27,1997,10.7,46,4.31,36,6,2,2,0,0,2,0.19,1,0,0,1,0,0
ENG-Premier League,2425,Bournemouth,Dean Huijsen,ESP,DF,19,2005,27.0,43,1.59,40,1,0,1,1,0,3,0.11,3,0,0,0,0,0
ENG-Premier League,2425,Bournemouth,Enes Ünal,TUR,"FW,MF",27,1997,3.8,9,2.35,6,0,0,2,1,0,3,0.78,2,0,0,0,1,0
ENG-Premier League,2425,Bournemouth,Evanilson,BRA,FW,24,1999,25.8,61,2.37,39,0,3,10,9,0,8,0.31,2,0,1,1,4,0
ENG-Premier League,2425,Bournemouth,Illia Zabarnyi,UKR,DF,21,2002,34.5,29,0.84,26,1,0,0,0,2,1,0.03,1,0,0,0,0,0
ENG-Premier League,2425,Bournemouth,James Hill,ENG,DF,22,2002,5.0,8,1.61,5,2,0,0,0,1,1,0.2,1,0,0,0,0,0
ENG-Premier League,2425,Bournemouth,Julian Araujo,MEX,DF,22,2001,5.5,5,0.91,5,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,2425,Bournemouth,Julio Soler,ARG,"DF,FW",19,2005,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,2425,Bournemouth,Justin Kluivert,NED,MF,25,1999,26.0,101,3.88,73,8,7,7,5,1,12,0.46,11,0,0,0,1,0
ENG-Premier League,2425,Bournemouth,Kepa Arrizabalaga,ESP,GK,29,1994,31.0,4,0.13,2,2,0,0,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,2425,Bournemouth,Lewis Cook,ENG,"MF,DF",27,1997,33.1,89,2.69,69,18,0,2,0,0,5,0.15,2,1,0,2,0,0
ENG-Premier League,2425,Bournemouth,Luis Sinisterra,COL,"FW,MF",25,1999,2.6,14,5.29,11,0,1,2,0,0,1,0.38,1,0,0,0,0,0
ENG-Premier League,2425,Bournemouth,Marcos Senesi,ARG,DF,27,1997,12.3,16,1.3,16,0,0,0,0,0,1,0.08,1,0,0,0,0,0
ENG-Premier League,2425,Bournemouth,Marcus Tavernier,ENG,"FW,MF",25,1999,21.5,98,4.55,68,12,3,10,5,0,11,0.51,5,3,0,2,1,0
ENG-Premier League,2425,Bournemouth,Mark Travers,IRL,GK,25,1999,5.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,2425,Bournemouth,Max Aarons,ENG,DF,24,2000,1.0,2,2.09,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,2425,Bournemouth,Milos Kerkez,HUN,DF,20,2003,37.1,83,2.24,67,4,2,2,5,3,9,0.24,7,0,1,0,0,1
ENG-Premier League,2425,Bournemouth,Neto,BRA,GK,35,1989,2.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,2425,Bournemouth,Philip Billing,DEN,MF,28,1996,2.0,16,7.83,13,0,0,1,0,2,0,0.0,0,0,0,0,0,0
ENG-Premier League,2425,Bournemouth,Remy Rees-Dottin,ENG,FW,18,2006,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,2425,Bournemouth,Ryan Christie,SCO,MF,29,1995,23.5,85,3.62,72,7,0,3,2,1,9,0.38,8,1,0,0,0,0
ENG-Premier League,2425,Bournemouth,Tyler Adams,USA,MF,25,1999,21.8,41,1.88,35,0,0,1,1,4,4,0.18,3,0,0,0,0,1
ENG-Premier League,2425,Bournemouth,Zain Silcott-Duberry,MSR,FW,19,2005,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,2425,Brentford,Ben Mee,ENG,DF,34,1989,2.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,2425,Brentford,Bryan Mbeumo,CMR,FW,24,1999,37.9,144,3.8,98,23,11,8,4,0,20,0.53,11,3,2,3,1,0
ENG-Premier League,2425,Brentford,Christian Nørgaard,DEN,MF,30,1994,31.3,58,1.85,48,0,0,7,2,1,13,0.42,11,0,0,1,1,0
ENG-Premier League,2425,Brentford,Edmond-Paris Maghoma,ENG,"MF,FW",23,2001,1.3,4,3.03,4,0,0,0,0,0,1,0.76,1,0,0,0,0,0
ENG-Premier League,2425,Brentford,Ethan Pinnock,JAM,DF,31,1993,21.3,21,0.99,13,5,0,2,1,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,2425,Brentford,Fabio Carvalho,POR,"FW,MF",21,2002,5.1,10,1.97,7,0,1,2,0,0,1,0.2,1,0,0,0,0,0
ENG-Premier League,2425,Brentford,Frank Onyeka,NGA,MF,26,1998,0.3,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,2425,Brentford,Gustavo Nunes,BRA,"FW,MF",18,2005,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,2425,Brentford,Hákon Rafn Valdimarsson,ISL,GK,22,2001,1.6,2,1.24,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,2425,Brentford,Jayden Meghoma,ENG,DF,18,2006,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,2425,Brentford,Keane Lewis-Potter,ENG,"DF,FW",23,2001,34.4,71,2.07,56,0,5,3,6,1,8,0.23,6,0,0,0,2,0
ENG-Premier League,2425,Brentford,Kevin Schade,GER,FW,22,2001,25.5,57,2.24,35,6,6,4,5,1,9,0.35,5,0,1,3,0,0
ENG-Premier League,2425,Brentford,Kim Jisoo,KOR,DF,19,2004,0.3,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,2425,Brentford,Kristoffer Ajer,NOR,DF,26,1998,16.0,18,1.13,15,0,1,2,0,0,2,0.13,2,0,0,0,0,0
ENG-Premier League,2425,Brentford,Mads Roerslev,DEN,DF,25,1999,12.2,21,1.72,18,0,1,1,1,0,2,0.16,2,0,0,0,0,0
ENG-Premier League,2425,Brentford,Mark Flekken,NED,GK,31,1993,36.4,10,0.27,6,4,0,0,0,0,2,0.05,0,2,0,0,0,0
ENG-Premier League,2425,Brentford,Mathias Jensen,DEN,MF,28,1996,9.6,41,4.28,29,11,1,0,0,0,5,0.52,2,2,1,0,0,0
ENG-Premier League,2425,Brentford,Michael Kayode,ITA,DF,20,2004,5.9,19,3.24,9,7,1,1,1,0,3,0.51,3,0,0,0,0,0
ENG-Premier League,2425,Brentford,Mikkel Damsgaard,DEN,"MF,FW",24,2000,32.3,120,3.71,92,14,6,2,1,5,21,0.65,15,3,1,0,1,1
ENG-Premier League,2425,Brentford,Nathan Collins,IRL,DF,23,2001,38.0,30,0.79,22,2,1,3,2,0,8,0.21,4,1,0,1,2,0
ENG-Premier League,2425,Brentford,Rico Henry,ENG,DF,27,1997,1.1,2,1.84,2,0,0,0,0,0,1,0.92,1,0,0,0,0,0
ENG-Premier League,2425,Brentford,Ryan Trevitt,ENG,MF,21,2003,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,2425,Brentford,Sepp van den Berg,NED,DF,22,2001,28.7,22,0.77,19,0,0,2,1,0,2,0.07,1,0,0,0,1,0
ENG-Premier League,2425,Brentford,Thiago,BRA,"FW,MF",23,2001,1.9,3,1.55,2,0,0,0,0,1,0,0.0,0,0,0,0,0,0
ENG-Premier League,2425,Brentford,Vitaly Janelt,GER,MF,26,1998,25.0,32,1.28,31,1,0,0,0,0,3,0.12,3,0,0,0,0,0
ENG-Premier League,2425,Brentford,Yehor Yarmoliuk,UKR,MF,20,2004,16.1,26,1.62,21,0,2,1,1,1,2,0.12,2,0,0,0,0,0
ENG-Premier League,2425,Brentford,Yoane Wissa,COD,FW,27,1996,32.4,69,2.13,40,1,4,13,10,1,10,0.31,8,0,0,1,1,0
ENG-Premier League,2425,Brentford,Yunus Emre Konak,TUR,"FW,MF",18,2006,0.5,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,2425,Brighton,Adam Webster,ENG,DF,29,1995,9.9,14,1.42,10,2,0,2,0,0,4,0.41,2,1,0,1,0,0
ENG-Premier League,2425,Brighton,Bart Verbruggen,NED,GK,21,2002,36.0,5,0.14,5,0,0,0,0,0,1,0.03,1,0,0,0,0,0
ENG-Premier League,2425,Brighton,Billy Gilmour,SCO,MF,23,2001,1.1,3,2.76,3,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,2425,Brighton,Brajan Gruda,GER,"MF,FW",20,2004,7.6,39,5.1,29,6,3,0,1,0,6,0.78,4,2,0,0,0,0
ENG-Premier League,2425,Brighton,Carlos Baleba,CMR,MF,20,2004,29.6,66,2.23,55,0,2,5,1,3,4,0.14,2,0,0,0,1,1
ENG-Premier League,2425,Brighton,Danny Welbeck,ENG,FW,33,1990,23.5,53,2.26,39,1,3,4,6,0,8,0.34,7,0,0,1,0,0
ENG-Premier League,2425,Brighton,Diego Gómez,PAR,MF,21,2003,5.7,19,3.32,14,3,0,1,1,0,4,0.7,2,1,0,0,1,0
ENG-Premier League,2425,Brighton,Eiran Cashin,IRL,DF,22,2001,0.2,1,4.5,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,2425,Brighton,Evan Ferguson,IRL,FW,19,2004,2.7,4,1.47,3,0,1,0,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,2425,Brighton,Ferdi Kadioglu,TUR,"DF,MF",24,1999,4.3,13,3.03,11,0,0,0,1,1,2,0.47,2,0,0,0,0,0
ENG-Premier League,2425,Brighton,Georginio Rutter,FRA,"MF,FW",22,2002,18.4,64,3.47,37,0,9,7,9,2,8,0.43,3,0,3,1,1,0
ENG-Premier League,2425,Brighton,Harry Howell,ENG,FW,15,2008,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,2425,Brighton,Igor,BRA,DF,26,1998,10.7,14,1.31,12,0,1,0,1,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,2425,Brighton,Jack Hinshelwood,ENG,"MF,DF",19,2005,20.5,35,1.71,28,4,0,2,1,0,3,0.15,3,0,0,0,0,0
ENG-Premier League,2425,Brighton,Jakub Moder,POL,MF,25,1999,0.1,4,32.73,4,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,2425,Brighton,James Milner,ENG,MF,38,1986,1.9,8,4.24,5,2,0,0,1,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,2425,Brighton,Jan Paul van Hecke,NED,DF,24,2000,32.9,52,1.58,46,2,0,3,1,0,3,0.09,3,0,0,0,0,0
ENG-Premier League,2425,Brighton,Jason Steele,ENG,GK,33,1990,2.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,2425,Brighton,Jeremy Sarmiento,ECU,MF,22,2002,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,2425,Brighton,João Pedro,BRA,"FW,MF",22,2001,21.6,72,3.32,56,0,3,2,10,1,9,0.42,6,0,0,0,3,0
ENG-Premier League,2425,Brighton,Joël Veltman,NED,DF,32,1992,18.9,23,1.22,16,2,2,1,2,0,2,0.11,1,1,0,0,0,0
ENG-Premier League,2425,Brighton,Julio Enciso,PAR,"MF,FW",20,2004,3.3,12,3.69,5,1,3,1,2,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,2425,Brighton,Kaoru Mitoma,JPN,"FW,MF",27,1997,28.9,87,3.01,73,0,6,3,4,1,10,0.35,9,0,0,0,1,0
ENG-Premier League,2425,Brighton,Lewis Dunk,ENG,DF,32,1991,23.1,19,0.82,17,0,0,2,0,0,3,0.13,2,0,0,1,0,0
ENG-Premier League,2425,Brighton,Mats Wieffer,NED,"DF,MF",24,1999,11.3,32,2.83,28,0,0,2,2,0,6,0.53,5,0,0,0,1,0
ENG-Premier League,2425,Brighton,Matt O'Riley,DEN,MF,23,2000,10.4,40,3.84,23,11,1,2,1,2,5,0.48,4,0,0,0,1,0
ENG-Premier League,2425,Brighton,Pervis Estupiñán,ECU,DF,26,1998,26.7,58,2.17,39,13,0,2,4,0,4,0.15,3,0,0,0,1,0
ENG-Premier League,2425,Brighton,Simon Adingra,CIV,"FW,MF",22,2002,12.2,47,3.86,33,0,6,8,0,0,7,0.57,5,0,1,1,0,0
ENG-Premier League,2425,Brighton,Solly March,ENG,"FW,MF",30,1994,1.9,7,3.77,6,1,0,0,0,0,2,1.08,2,0,0,0,0,0
ENG-Premier League,2425,Brighton,Tariq Lamptey,GHA,DF,23,2000,9.6,17,1.78,14,1,0,0,1,1,3,0.31,2,0,0,0,0,1
ENG-Premier League,2425,Brighton,Yankuba Minteh,GAM,"FW,MF",20,2004,20.4,64,3.14,37,8,13,3,2,1,13,0.64,6,0,6,1,0,0
ENG-Premier League,2425,Brighton,Yasin Ayari,SWE,MF,20,2003,21.8,61,2.79,36,13,3,3,4,2,6,0.27,4,2,0,0,0,0
ENG-Premier League,2425,Chelsea,Axel Disasi,FRA,DF,26,1998,4.0,2,0.49,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,2425,Chelsea,Benoît Badiashile,FRA,DF,23,2001,3.7,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,2425,Chelsea,Christopher Nkunku,FRA,FW,26,1997,10.2,34,3.32,21,0,5,5,1,2,4,0.39,1,0,1,1,1,0
ENG-Premier League,2425,Chelsea,Cole Palmer,ENG,"MF,FW",22,2002,35.5,202,5.7,134,21,16,21,8,2,15,0.42,11,0,2,1,1,0
ENG-Premier League,2425,Chelsea,Enzo Fernández,ARG,MF,23,2001,32.7,147,4.49,116,16,2,4,4,5,16,0.49,13,2,0,1,0,0
ENG-Premier League,2425,Chelsea,Filip Jørgensen,DEN,GK,22,2002,6.0,1,0.17,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,2425,Chelsea,Jadon Sancho,ENG,FW,24,2000,19.6,70,3.57,63,0,3,1,3,0,10,0.51,9,0,0,0,1,0
ENG-Premier League,2425,Chelsea,Joshua Acheampong,ENG,DF,18,2006,1.9,2,1.06,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,2425,Chelsea,João Félix,POR,"FW,MF",24,1999,4.1,18,4.38,12,0,2,3,1,0,3,0.73,1,0,1,0,1,0
ENG-Premier League,2425,Chelsea,Kiernan Dewsbury-Hall,ENG,"MF,FW",25,1998,2.9,5,1.7,5,0,0,0,0,0,1,0.34,1,0,0,0,0,0
ENG-Premier League,2425,Chelsea,Levi Colwill,ENG,DF,21,2003,35.0,38,1.09,34,2,0,1,0,1,3,0.09,2,0,0,0,0,1
ENG-Premier League,2425,Chelsea,Malo Gusto,FRA,DF,21,2003,20.7,58,2.8,57,0,0,1,0,0,4,0.19,4,0,0,0,0,0
ENG-Premier League,2425,Chelsea,Marc Cucurella,ESP,DF,26,1998,33.2,51,1.54,44,4,0,2,1,0,5,0.15,4,1,0,0,0,0
ENG-Premier League,2425,Chelsea,Marc Guiu,ESP,FW,18,2006,0.8,1,1.22,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,2425,Chelsea,Mathis Amougou,FRA,MF,18,2006,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,2425,Chelsea,Moisés Caicedo,ECU,"MF,DF",22,2001,37.2,98,2.63,86,0,2,0,3,7,9,0.24,6,0,0,0,2,1
ENG-Premier League,2425,Chelsea,Mykhailo Mudryk,UKR,FW,23,2001,1.7,6,3.6,4,1,0,0,1,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,2425,Chelsea,Nicolas Jackson,SEN,FW,23,2001,24.7,69,2.8,42,0,9,7,9,2,10,0.41,7,0,2,1,0,0
ENG-Premier League,2425,Chelsea,Noni Madueke,ENG,FW,22,2002,22.6,79,3.5,57,0,10,7,4,1,8,0.35,5,0,0,1,1,1
ENG-Premier League,2425,Chelsea,Pedro Neto,POR,FW,24,2000,25.2,90,3.57,64,9,6,7,4,0,9,0.36,5,1,2,1,0,0
ENG-Premier League,2425,Chelsea,Reece James,ENG,"DF,MF",24,1999,11.8,18,1.52,11,5,1,1,0,0,3,0.25,1,0,1,1,0,0
ENG-Premier League,2425,Chelsea,Renato Veiga,POR,"DF,MF",21,2003,2.0,1,0.49,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,2425,Chelsea,Robert Sánchez,ESP,GK,26,1997,32.0,7,0.22,6,1,0,0,0,0,2,0.06,1,1,0,0,0,0
ENG-Premier League,2425,Chelsea,Roméo Lavia,BEL,MF,20,2004,8.9,14,1.58,13,0,0,0,0,1,2,0.23,2,0,0,0,0,0
ENG-Premier League,2425,Chelsea,Shumaira Mheuka,ENG,MF,16,2007,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,2425,Chelsea,Tosin Adarabioyo,ENG,DF,26,1997,15.7,15,0.96,8,0,0,6,0,1,1,0.06,0,0,0,1,0,0
ENG-Premier League,2425,Chelsea,Trevoh Chalobah,ENG,DF,25,1999,10.1,13,1.29,10,0,0,2,0,1,3,0.3,1,0,0,1,0,1
ENG-Premier League,2425,Chelsea,Tyrique George,ENG,FW,18,2006,2.0,7,3.44,6,0,1,0,0,0,1,0.49,1,0,0,0,0,0
ENG-Premier League,2425,Chelsea,Wesley Fofana,FRA,DF,23,2000,13.0,15,1.15,12,1,1,1,0,0,0,0.0,0,0,0,0,0,0
